Date,Open,Close,High,Low,Volume
1-Mar-17,254.179993,250.020004,254.850006,249.110001,4809500
2-Mar-17,249.710007,250.479996,253.279999,248.270004,3351800
3-Mar-17,250.740005,251.570007,251.899994,249,2919400
6-Mar-17,247.910004,251.210007,251.699997,247.509995,3355500
7-Mar-17,251.919998,248.589996,253.889999,248.320007,3459500
8-Mar-17,247,246.869995,250.070007,245.320007,3725200
9-Mar-17,247.630005,244.899994,248.660004,243,3879300
10-Mar-17,246.210007,243.690002,246.5,243,3066300
13-Mar-17,244.820007,246.169998,246.850006,242.779999,3022600
14-Mar-17,246.110001,258,258.119995,246.020004,7598400
15-Mar-17,257,255.729996,261,254.270004,5330800
16-Mar-17,262.399994,262.049988,265.75,259.059998,7132200
17-Mar-17,264,261.5,265.329987,261.200012,6497500
20-Mar-17,260.600006,261.920013,264.549988,258.820007,3614300
21-Mar-17,262.829987,250.679993,264.799988,250.240005,6908600
22-Mar-17,251.559998,255.009995,255.070007,250.509995,4059300
23-Mar-17,255.389999,254.779999,257.670013,253.300003,3320200
24-Mar-17,255.699997,263.160004,263.890015,255.009995,5647300
27-Mar-17,260.600006,270.220001,270.570007,259.75,6230800
28-Mar-17,277.019989,277.450012,280.679993,275,7987600
29-Mar-17,278.339996,277.380005,279.600006,275.540009,3676200
30-Mar-17,278.040009,277.920013,282,277.209991,4148400
31-Mar-17,278.730011,278.299988,279.679993,276.320007,3294600
3-Apr-17,286.899994,298.519989,299,284.579987,13888600
4-Apr-17,296.890015,303.700012,304.809998,294.529999,10134600
5-Apr-17,302.040009,295,304.880005,294.200012,7880900
6-Apr-17,296.880005,298.700012,301.940002,294.100006,5520600
7-Apr-17,297.5,302.540009,302.690002,297.149994,4579600
10-Apr-17,309.149994,312.390015,313.730011,308.709991,7664500
11-Apr-17,313.380005,308.709991,313.470001,305.5,5724600
12-Apr-17,306.339996,296.839996,308.450012,296.320007,6050700
13-Apr-17,296.700012,304,307.390015,295.299988,9284600
17-Apr-17,302.700012,301.440002,304,298.679993,4138700
18-Apr-17,299.700012,300.25,300.839996,297.899994,3035700
19-Apr-17,302.459991,305.519989,306.619995,302.109985,3898000
20-Apr-17,306.51001,302.51001,309.149994,300.230011,6149400
21-Apr-17,302,305.600006,306.399994,300.420013,4509800
24-Apr-17,309.220001,308.029999,310.549988,306.019989,5083500
25-Apr-17,308,313.790009,313.980011,305.859985,6737700
26-Apr-17,312.369995,310.170013,314.5,309,4695000
27-Apr-17,311.690002,308.630005,313.089996,307.5,3468600
28-Apr-17,309.829987,314.070007,314.799988,308,4463400
1-May-17,314.880005,322.829987,327.25,314.809998,8829600
2-May-17,324,318.890015,327.660004,316.559998,5382800
3-May-17,317.670013,311.019989,321.529999,310.450012,7133400
4-May-17,307.440002,295.459991,307.769989,290.76001,14152000
5-May-17,298,308.350006,308.549988,296.799988,8177300
8-May-17,310.899994,307.190002,313.790009,305.820007,7006500
9-May-17,309.380005,321.26001,321.98999,309.100006,9676500
10-May-17,321.559998,325.220001,325.5,318.119995,5741600
11-May-17,323.399994,323.100006,326,319.600006,4753800
12-May-17,325.480011,324.809998,327,321.529999,4121600
15-May-17,318.380005,315.880005,320.200012,312.529999,7622000
16-May-17,317.589996,317.01001,320.059998,315.140015,4152500
17-May-17,314.390015,306.109985,314.630005,305.5,6711900
18-May-17,307,313.059998,313.940002,305.309998,5653800
19-May-17,315.5,310.829987,316.5,310.200012,4687600
22-May-17,312.799988,310.350006,314.369995,306.799988,4329200
23-May-17,310.459991,303.859985,310.730011,303.480011,4318400
24-May-17,306.51001,310.220001,311,305.399994,5033300
25-May-17,311.019989,316.829987,316.970001,307.809998,5014000
26-May-17,317.279999,325.140015,325.48999,316.309998,7802200
30-May-17,326,335.100006,336.279999,325.76001,7782900
31-May-17,337.690002,341.01001,342.890015,335.160004,9963400
1-Jun-17,344,340.369995,344.880005,337.290009,7608000
2-Jun-17,339.769989,339.850006,342.880005,335.929993,5590200
5-Jun-17,338.5,347.320007,348.440002,334.209991,6784400
6-Jun-17,344.700012,352.850006,359.48999,339.970001,11086800
7-Jun-17,356.339996,359.649994,360.5,355.140015,9398000
8-Jun-17,363.75,370,371.899994,360.220001,9009800
9-Jun-17,374.420013,357.320007,376.869995,354.799988,17261400
12-Jun-17,357.98999,359.01001,364.5,350.619995,10517700
13-Jun-17,367.619995,375.950012,376,366.609985,11807900
